Messages,Start Date,District,Communication Channel,The message contains
the vaccine causes erection to me,2/8/2022,Western Urban,Social mobilization Activities Word of mouth,concerns
the vaccine causes headache,2/8/2022,Western Urban,Word of mouth Social mobilization Activities,concerns
the vaccine causes fatigue,2/8/2022,No specific district,Word of mouth Social mobilization Activities,concerns
the vaccine causes fatigue,2/8/2022,Western Urban,Word of mouth Social mobilization Activities,concerns
good,2/8/2022,Western Rural,Social mobilization Activities,information
good,2/8/2022,Western Rural,Social mobilization Activities,information
there should be an alternative to covid-19 vaccine,2/8/2022,Moyamba,Word of mouth,concerns
what will the government do if someone has side effects after taking the covid-19 vaccine,2/8/2022,Moyamba,Social mobilization Activities,concerns
if i don't want to take the vaccine what alternative has the government put in place,2/8/2022,Moyamba,Social mobilization Activities,concerns
is it true that a bracelet is given to people after covid-19 vaccination,2/8/2022,Moyamba,Word of mouth,information
there should be another measure for people to comply to the measure of covid-19,2/8/2022,Moyamba,Word of mouth,concerns
"covid-19 is very dangerous why are we playing with, we need to be careful",2/8/2022,Moyamba,Social mobilization Activities,information
corona is not for africa,2/8/2022,Western Urban,Other,misinformation
covid-19 vaccine is to reduce birth rate,2/8/2022,Western Urban,Other,rumors
corona is not deadly,2/8/2022,No specific district,Other,misinformation
covid-19 vaccine gives cancer,11/10/2021,Western Urban,WhatsApp,misinformation
covid-19 vaccine causes blindness,11/10/2021,Western Urban,WhatsApp,misinformation
covid-19 vaccine damage the heart,11/16/2021,Western Urban,WhatsApp,misinformation
covid-19 vaccine causes frequent bleeding,2/8/2022,Western Urban,WhatsApp,misinformation
covid-19 vaccine gives heart problem,2/8/2022,Western Urban,WhatsApp,misinformation
the covid-19 vaccine is a birth control measure,2/8/2022,Western Urban,WhatsApp,misinformation
covid-19 vaccine causes blood pressure,2/8/2022,Western Urban,WhatsApp,misinformation
covid-19 vaccine gives blood clots,2/8/2022,Western Urban,WhatsApp,concerns
people are afraid of covid-19 vaccine side effects,2/8/2022,Western Urban,WhatsApp,concerns
covid-19 vaccine causes weakness,2/8/2022,Western Urban,WhatsApp,misinformation
covid-19 vaccine gives stroke,2/8/2022,Western Urban,WhatsApp,misinformation
covid-19 vaccine causes death,2/8/2022,Western Urban,WhatsApp,rumors
corona is not for africa,2/8/2022,Western Urban,Other,rumors
covid is fake,2/3/2022,Western Urban,Social mobilization Activities,rumors
to what extent does covid -19 vaccine be effective in the system given the fact that some of its vaccines have shorter expiration?,2/7/2022,Bonthe,Social mobilization Activities,concerns
covid-19 vaccines are administered to spread hiv and aids,2/7/2022,Port Loko,Word of mouth,misinformation
"covid-19 is not real in sierra leone, health workers are just forcing its vaccines on people to promote their hidden agenda.",2/8/2022,Port Loko,Radio,misinformation
vaccine kill people slowly,2/9/2022,Western Urban,Public event,misinformation
vaccine is fake,2/9/2022,Western Urban,Word of mouth,misinformation
the vaccine is safe and effective ,2/9/2022,Western Urban,Word of mouth,information
the vaccine is safe and effective ,2/9/2022,Western Urban,Word of mouth,information
vaccine is for making government want to make money out vaccine,2/9/2022,Western Urban,Word of mouth,misinformation
vaccine is a means in which they want to interfer in people's dna to control everybody in the world,2/9/2022,Western Urban,Word of mouth,misinformation
the vaccine is the coronavirus itself,2/9/2022,Western Urban,Word of mouth,misinformation
the coronavirus is not in sierra leone. the government has brought the vaccine to make money ,2/9/2022,Western Urban,Word of mouth,rumors
vaccine causes drinking a lot of water,2/9/2022,Western Urban,Word of mouth,rumors
i will only take the vaccine if they will pay me.,2/9/2022,Western Urban,Word of mouth,concerns
fear of vaccine,2/9/2022,Western Urban,Social mobilization Activities,concerns
vaccine causes  rise in body temperature,2/9/2022,Western Urban,Social mobilization Activities,information
vaccine causes sevier head ache,2/9/2022,Western Urban,Social mobilization Activities,concerns
i do not believe in the vaccine.,2/9/2022,Western Urban,Word of mouth,concerns
vaccine brings health complications.,2/9/2022,Western Urban,Word of mouth,rumors
the vaccine will make u sick with covid-19,2/9/2022,Western Urban,Market/Shops/Street Word of mouth,misinformation
the vaccine were rushed and there has been no time to test,2/9/2022,Western Urban,Social mobilization Activities Market/Shops/Street,concerns
the covid-19 vaccine isn't safe,2/9/2022,Western Urban,Market/Shops/Street Political events,misinformation
the vaccine is a strategy to implant microchip in people of africa,2/9/2022,Western Urban,Word of mouth,misinformation
the vaccine is not safe for people with allergies,2/7/2022,Western Urban,Market/Shops/Street Word of mouth,rumors
i can not take vaccine because my mother seriously sick when she took hers.,2/9/2022,Western Urban,Word of mouth,concerns
"i lost my vaccine card, and it is a requirement for the second dose. so i don't think i can get my second dose.",2/9/2022,Western Urban,Word of mouth,concerns
how effective is covid-19 vaccines on breakthrough cases,2/9/2022,Western Urban,WhatsApp,concerns
covid 19 doesn't exist in sierra leone,2/9/2022,Western Urban,Word of mouth,misinformation
is vaccination equal to the task of long covid,2/9/2022,Western Urban,Facebook,concerns
"i do usually fell sick, therefore i don't need a vaccine",2/9/2022,Western Urban,Word of mouth,concerns
i am breastfeeding i can not take covid19 vaccine.,2/9/2022,Western Urban,Word of mouth,concerns
vaccine causes side effects,2/9/2022,Western Urban,Market/Shops/Street,misinformation
i took the vaccine because i wanted to protect myself,2/9/2022,Western Urban,Word of mouth,information
coronavirus is meant to reduce world population,2/9/2022,Western Urban,Social mobilization Activities,misinformation
vaccine causes infertility,2/9/2022,Western Urban,Word of mouth,misinformation
i took my vaccine i did not get any reaction,2/9/2022,Western Urban,Word of mouth,information
the vaccine causes cancer,2/9/2022,Western Urban,Market/Shops/Street,misinformation
the vaccine has side effects freetown,2/9/2022,Western Urban,Word of mouth,concerns
the vaccine has side effects,2/9/2022,Western Urban,Word of mouth,misinformation
i am afraid of covid19 injection,2/9/2022,Western Urban,Word of mouth,concerns
vaccine causes abdominal pain,2/9/2022,Western Urban,Social mobilization Activities,information
vaccine causes bleeding,2/9/2022,Western Urban,Social mobilization Activities,rumors
vaccine kills her sister in nigeria,2/9/2022,Western Urban,Social mobilization Activities,concerns
vaccine are not safe for people with allergies,2/9/2022,Western Urban,Word of mouth,rumors
the vaccine safe with no side effects when i took mine.,2/9/2022,Western Urban,Word of mouth,information
the vaccine causes stomach hurts,2/9/2022,Western Urban,Social mobilization Activities Word of mouth,concerns
i'm a christan i don't take vaccine,2/9/2022,Western Urban,Social mobilization Activities Word of mouth,misinformation
covid-19 vaccine can cause weakness,2/9/2022,Western Urban,Word of mouth,rumors
covid-19 vaccine can cause swelling of the hand,2/9/2022,Western Urban,Word of mouth,rumors
covid-19 vaccine can kill,2/9/2022,Western Urban,Market/Shops/Street,concerns
the vaccine causes bleeding,2/9/2022,Western Urban,Market/Shops/Street,rumors
vaccine is not reliable,2/9/2022,Western Urban,Other,misinformation
the vaccine causes death,2/9/2022,Western Urban,Social mobilization Activities Word of mouth,misinformation
is the vaccine safe for pregnant women?,11/5/2021,Western Urban,Facebook,concerns
"she is pregnant, is it safe ?",11/5/2021,Western Urban,WhatsApp,concerns
the vaccine causes death,2/9/2022,Western Urban,Market/Shops/Street,misinformation
the vaccine for adolescent is a birth control measure,1/7/2022,Western Urban,WhatsApp,rumors
the vaccine for adolescent is a birth control plan,1/6/2022,Western Urban,WhatsApp,misinformation
the vaccine causes sexual arose.,2/9/2022,Western Urban,Word of mouth Social mobilization Activities,rumors
the vaccine causes heavy hand on tattoo ,2/9/2022,Western Urban,Word of mouth Social mobilization Activities,information
availability of cover 19 vaccine,2/9/2022,Western Rural,Word of mouth,information
age dropped down is confusing people,2/9/2022,Western Rural,Word of mouth,concerns
the astra zenica vaccine has expired,2/9/2022,Western Urban,Word of mouth,rumors
people don't trust the covid-19 vaccination process,2/9/2022,Bombali,Word of mouth,concerns
people don't trust the covid-19 vaccination process,2/9/2022,Western Rural,Word of mouth,concerns
the covid-19 vaccine causes sterility,2/9/2022,Western Urban,Social mobilization Activities Word of mouth,rumors
the covid-19 vaccine can't cure you.,2/9/2022,Western Urban,Word of mouth,concerns
covid-19 vaccine is more of politics,2/9/2022,Western Urban,Word of mouth,misinformation
i don't believe covid-19 exist,2/9/2022,Western Rural,Market/Shops/Street,rumors
too many vaccines,2/9/2022,Western Urban,Word of mouth,concerns
too many vaccines,2/9/2022,Bombali,Word of mouth,concerns
it reduce the people,2/9/2022,Western Urban,Market/Shops/Street,misinformation
it cause blindness,2/9/2022,Western Urban,Word of mouth,misinformation
shake of politics,2/9/2022,Western Urban,Market/Shops/Street,misinformation
it cause unhealthy condition,2/9/2022,Western Urban,Word of mouth,misinformation
it cause blindness,2/9/2022,Western Urban,Market/Shops/Street,misinformation
it cause death,2/9/2022,Western Urban,Market/Shops/Street,misinformation
cause serious infection,2/9/2022,Western Urban,Word of mouth,misinformation
it has drastic infection,2/9/2022,Western Urban,Market/Shops/Street,misinformation
vaccines cause death,2/9/2022,Western Urban,Market/Shops/Street,misinformation
it good for healthier condition,2/9/2022,Western Urban,Market/Shops/Street,misinformation
that covid-19 vaccine is mark of the beast,2/9/2022,Western Urban,Market/Shops/Street,rumors
covid-19 vaccine kills,2/9/2022,Western Urban,Word of mouth,rumors
covid-19 vaccine give sore throat,2/9/2022,Western Urban,Market/Shops/Street,misinformation
that after two years of taking the covid-19 vaccine one will die,2/9/2022,Western Urban,Market/Shops/Street,rumors
the covid-19 vaccine has expired.,10/1/2021,Western Urban,Word of mouth,rumors
"they said the covid-19 vaccine is safe, but they don't trust the health workers",2/9/2022,Western Urban,Word of mouth,concerns
health care workers,2/9/2022,Western Rural,Word of mouth,concerns
anyone who is sick should not take the covid-19 vaccine,2/9/2022,Western Urban,Market/Shops/Street,misinformation
covid-19 vaccine causes severe pain,2/9/2022,Western Urban,WhatsApp,misinformation
afraid of covid-19 side effect,2/9/2022,Western Urban,WhatsApp,concerns
some of the covid-19 vaccine has expired,2/9/2022,Western Urban,Market/Shops/Street,misinformation
that people on medication should not take the covid-19 vaccine,2/9/2022,Western Urban,Word of mouth SMS,misinformation
covid-19 vaccine that are coming into sierra leone are not good,2/9/2022,Western Urban,Word of mouth,rumors
covid-19 vaccine is not safe for old people as it heavy and has side effects,2/9/2022,Western Urban,Word of mouth,misinformation
covid-19 vaccine cause bleeding,2/9/2022,Western Urban,Political events,misinformation
be sure of being cure before taking covid-19 vaccination,2/9/2022,Western Urban,Word of mouth,misinformation
"after vaccination virus can infect me, no need to vaccinate",2/9/2022,Western Urban,Social mobilization Activities,concerns
covid-19 vaccine causes blindness,2/9/2022,Western Urban,WhatsApp,misinformation
covid-19 vaccine causes stroke,2/9/2022,Western Urban,WhatsApp,misinformation
covid-19 vaccines protect someone affected,2/9/2022,Western Urban,Other,misinformation
what are the benefits of getting vaccinated?,2/9/2022,Western Urban,Word of mouth,concerns
covid-19 vaccines are deadly to any human,2/9/2022,Western Urban,Word of mouth,rumors
corona is not real,2/9/2022,Western Urban,Other,rumors
corona is not real,2/9/2022,Kono,Other,rumors
covid-19 vaccine production is too quick,2/9/2022,Western Urban,Other,concerns
"some say they had chronic back pain but after taking the  covid-19 vaccine, the pain has been cleared",2/8/2022,Bonthe,Social mobilization Activities,concerns
there is less compliance in covid-19 vaccination,2/9/2022,Moyamba,Word of mouth,concerns
trust in the health workers messages on covid-19,2/9/2022,Moyamba,Word of mouth,concerns
covid vaccine causes no harm,2/9/2022,Moyamba,Word of mouth,information
"the vaccine cannot protect me, why taken it.",2/10/2022,Western Urban,Word of mouth,concerns
you bring the vaccine to make money,2/10/2022,Western Urban,Word of mouth,misinformation
"there is no covid-19 in sierra leone, you are just lying to people",2/10/2022,Western Urban,Word of mouth,misinformation
covid-19 is a business just eat your own and go.,2/10/2022,Western Urban,Word of mouth,misinformation
vaccine causes bleeding,2/10/2022,Western Urban,Market/Shops/Street,rumors
the vaccine is good.,2/10/2022,Western Urban,Word of mouth,information
i really want to know if what people are saying about the vaccine is true. so i am going to take it and observe,2/10/2022,Western Urban,Word of mouth,concerns
"i want good health, that is why i am taking the vaccine.",2/10/2022,Western Urban,Word of mouth,concerns
vaccine kills slowly,2/10/2022,Western Urban,WhatsApp,misinformation
"no need for vaccination,you can get the vaccine card if you have the money.",2/10/2022,Western Urban,Word of mouth,misinformation
limited public education on vaccine availability,2/10/2022,Western Urban,Word of mouth,concerns
vaccine causes sickness,2/10/2022,Western Urban,Public event,rumors
"i have never got covid, should i take the vaccine?",2/10/2022,Western Rural,Social mobilization Activities,concerns
vaccine is fake,2/10/2022,Western Urban,Public event,misinformation
vaccine safety,2/10/2022,Western Rural,Word of mouth,rumors
vaccine is to reduce life expectancy,2/10/2022,Western Urban,Social mobilization Activities,misinformation
vaccine is meant to collect human tata,2/10/2022,Western Urban,Social mobilization Activities,misinformation
wearing a mask is not necessary after getting vaccinated,2/10/2022,Western Urban,Political events Word of mouth,misinformation
the vaccine may caused infertility,2/10/2022,Western Urban,Twitter Facebook,misinformation
the vaccine aren't safe,2/10/2022,Western Urban,Market/Shops/Street,misinformation
the jand j vaccine will alter people dna,2/10/2022,Western Urban,Market/Shops/Street WhatsApp,misinformation
vaccines are not reliable,2/10/2022,Western Urban,Other,misinformation
the vaccine causes tetanus,2/10/2022,Western Urban,Market/Shops/Street,misinformation
"the covid-19 vaccine was developed too quickly without proper research as compared to other vaccines which make it unreliable and not as efficient, the sole aim is for making money",2/9/2022,Western Urban,Word of mouth,misinformation
increased sexual productivity after taking the first dose vaccine,2/10/2022,Western Rural,Word of mouth,rumors
the vaccine causes bad feeling for three days,2/10/2022,Western Urban,Social mobilization Activities Word of mouth,rumors
vaccine limit human reproduction,2/10/2022,Western Urban,Social mobilization Activities,misinformation
the vaccine cause common cold,2/10/2022,Western Urban,Social mobilization Activities Word of mouth,rumors
the vaccine is safe,2/10/2022,Western Urban,Word of mouth,information
the vaccine build the immune system against the virus,2/10/2022,Western Urban,Word of mouth,information
when i took my 1st dose of vaccine i had serious side effects.,2/10/2022,Western Urban,Word of mouth,concerns
the vaccine causes heavy vomiting and weakness,2/10/2022,Western Urban,Word of mouth Social mobilization Activities,rumors
vaccines save life,2/10/2022,Western Urban,Word of mouth,information
i  don't trust the vaccine at all,2/10/2022,Western Urban,Word of mouth,concerns
vaccine will make you sick with covid-19,2/10/2022,Western Urban,Word of mouth,misinformation
i have already had covid-19 so i don't need to get the vaccine,2/10/2022,Western Urban,Word of mouth,concerns
i have strong immune system i don't need covid19 vaccines,2/10/2022,Western Urban,Word of mouth,concerns
corona virus cannot catch africans,2/10/2022,Western Urban,Word of mouth,misinformation
vaccine causes fertility for young women,2/10/2022,Western Urban,Word of mouth,misinformation
vaccine were rushed and women body hasn't enough lesting,2/10/2022,Western Urban,Word of mouth,misinformation
vaccine could alter human dna,2/10/2022,Western Urban,Religious event,rumors
when i took vaccine i had frequent stooling and weakness,2/10/2022,Western Urban,Word of mouth,concerns
you will blind after two years,2/10/2022,Western Urban,WhatsApp,misinformation
vaccine hospitalized people,2/10/2022,Western Urban,Public event,misinformation
covid-19 vaccine kill africans,2/10/2022,Western Urban,Word of mouth,misinformation
rumors,2/3/2022,Western Rural,Word of mouth,misinformation
i am afraid to take the vaccine because i have underlining health.,2/10/2022,Western Urban,Word of mouth,concerns
it makes you loose blood,2/10/2022,Western Urban,Market/Shops/Street,rumors
the vaccine cause my friends to sick. ,2/10/2022,Western Urban,Word of mouth,concerns
i prefer j & j than any other vaccines,2/10/2022,Western Urban,Word of mouth,concerns
vaccine causes liver problem,2/10/2022,Western Urban,Social mobilization Activities,rumors
i am afraid to take the vaccine because of the needle,2/10/2022,Western Urban,Word of mouth,concerns
vaccine can't prevent you from not get the coronavirus,2/10/2022,Western Urban,Market/Shops/Street,concerns
the vaccine causes death,2/10/2022,Western Urban,Market/Shops/Street,misinformation
the vaccine causes blood clot,2/10/2022,Western Urban,Market/Shops/Street,misinformation
vaccine kills,2/10/2022,Western Urban,Social mobilization Activities,misinformation
vaccine should go with financial reward,2/10/2022,Western Urban,Word of mouth,concerns
too many vaccines it confusing,2/10/2022,Western Urban,Word of mouth,concerns
covid is not in sierra leone,2/10/2022,Western Urban,Social mobilization Activities Word of mouth,misinformation
vaccine causes excessive sweating,2/10/2022,Western Urban,Social mobilization Activities,rumors
vaccine should be in all health centre.,2/10/2022,Western Urban,Market/Shops/Street,concerns
covid-19 vaccine is a trial vaccine,2/10/2022,Western Urban,Word of mouth,rumors
"why the covid-19 pandemic mutations?
the so called global pandemic has been in constant mutations whenever a new type of vaccine is introduced, could it be that the disease is man made for financial gains of some few business tycoons",2/10/2022,Western Urban,WhatsApp,concerns
vaccine is spiritual,2/10/2022,Western Urban,Word of mouth,misinformation
why is there so many covid-19 vaccines? i'm very unsure of which vaccine to take,2/10/2022,Western Urban,Word of mouth,concerns
vaccines are safe and approved,2/10/2022,Western Urban,Word of mouth,information
vaccine reactions among family member are causes some people not to take,2/10/2022,Western Urban,Market/Shops/Street,concerns
it reduces people,2/10/2022,Western Urban,Market/Shops/Street,misinformation
vaccines cause death,2/10/2022,Western Urban,Word of mouth,misinformation
vaccines cause blindness,2/10/2022,Western Urban,Market/Shops/Street,misinformation
vaccines cause impact condition,2/10/2022,Western Urban,Word of mouth,rumors
vaccine cause heartstrings,2/10/2022,Western Urban,Word of mouth,rumors
vaccines cause bleeding,2/10/2022,Western Urban,Word of mouth,misinformation
vaccines cause blindness,2/10/2022,Western Urban,Word of mouth,misinformation
covid-19 vaccines are not safe and effective,2/10/2022,Western Urban,Word of mouth,misinformation
people that have bracelet are receiving the correct covid-19 vaccine,2/10/2022,Western Urban,Market/Shops/Street,misinformation
covid-19 vaccine causes frequent urination and stool,2/10/2022,Western Urban,Market/Shops/Street,rumors
covid-19 vaccines improve our health condition,2/10/2022,Western Urban,Word of mouth,information
covid-19 vaccine is not safe for pregnant woman as it causes disability in their babies,2/10/2022,Western Urban,Market/Shops/Street,rumors
vaccine will make you sick with covid-19,2/10/2022,Western Urban,Word of mouth,misinformation
corona is a set up,2/10/2022,Western Urban,Other,misinformation
vaccine consciousness,2/10/2022,No specific district,Other,rumors
vaccine courses body fever,2/5/2022,Western Urban,Social mobilization Activities,information
i don't believe covid exist,2/10/2022,Western Rural,Word of mouth,misinformation
i don't trust the government,2/10/2022,Western Rural,Market/Shops/Street,misinformation
how long does c-19 vaccine provide immunity ,2/10/2022,Bonthe,Social mobilization Activities,concerns
the vaccine is for those who travel by plane.,2/11/2022,Western Urban,Word of mouth,misinformation
i do not want to die quick. i wanted to live long.,2/11/2022,Western Urban,Word of mouth,rumors
"vaccine is good,",2/11/2022,Western Urban,Word of mouth,information
i took the vaccine last week and i started experiencing severe headache.,2/11/2022,Western Urban,Word of mouth,concerns
the vaccine can lead to long time effect,2/11/2022,Western Urban,SMS WhatsApp,rumors
you can get covid-19 from the vaccine,2/11/2022,Western Urban,Facebook Market/Shops/Street Word of mouth,rumors
the covid-19 vaccine include a tracking device,2/11/2022,Western Urban,WhatsApp,misinformation
vaccine cause madness,2/11/2022,Western Urban,Public event,rumors
vaccine causes continues pain and fever,2/11/2022,Western Urban,Word of mouth,rumors
vaccine cause stomach pain,2/11/2022,Western Urban,Market/Shops/Street,concerns
"no vaccine heals,it is god that heals",2/11/2022,Western Urban,Television,misinformation
i am scared to take may 2nd dose of vaccine because i had severed side effect when i took the 1st dose,2/11/2022,Western Urban,Word of mouth,concerns
"i am pregnant, i can't take vaccine",2/11/2022,Western Urban,Word of mouth,concerns
i don't trust the vaccines,2/11/2022,Western Urban,Word of mouth,concerns
china made-up sick in their lab.,2/11/2022,Western Urban,WhatsApp,rumors
"i don't believe covid-19 is in sierra leone, if we have covid why are top personalities not wearing mask especially in public gatherings as seen in their recent pitical meetings.",2/11/2022,Western Urban,Word of mouth,misinformation
the western world think their vaccine is the best.,2/11/2022,Western Urban,Word of mouth,concerns
"i am sick, i can not vaccine",2/11/2022,Western Urban,Word of mouth,concerns
vaccine causes disability,2/10/2022,Western Urban,WhatsApp,rumors
vaccine causes fever,2/10/2022,Western Urban,WhatsApp,information
vaccine causes bleeding,2/10/2022,Western Urban,WhatsApp,rumors
vaccine causes asthma,2/10/2022,Western Urban,WhatsApp,rumors
vaccine causes hiv,2/10/2022,Western Urban,WhatsApp,misinformation
there is no need for vaccine,2/11/2022,Western Urban,Word of mouth,misinformation
covid-19 vaccine can cause headache,2/10/2022,Western Urban,Word of mouth,information
covid-19 vaccine can cause weakness,2/11/2022,Western Urban,Word of mouth,rumors
covid-19 vaccine can cause headache,2/11/2022,Western Urban,Word of mouth,information
covid-19 vaccine can kill,2/11/2022,Western Urban,Market/Shops/Street,rumors
vaccine causes ic itching of the body,2/11/2022,Western Urban,Social mobilization Activities,rumors
vaccine is demonic,2/11/2022,Western Urban,Social mobilization Activities,misinformation
vaccines cause death,2/11/2022,Western Urban,Market/Shops/Street,rumors
vaccines cause blindness,2/11/2022,Western Urban,Word of mouth,rumors
vaccines cause reduction,2/11/2022,Western Urban,Word of mouth,misinformation
vaccine is good for healthier condition,2/11/2022,Western Urban,Word of mouth,information
impact of politics,2/11/2022,Western Urban,Word of mouth,misinformation
vaccines cause death,2/11/2022,Western Urban,Market/Shops/Street,misinformation
vaccine has metal impact,2/11/2022,Western Urban,Market/Shops/Street,rumors
shake of politics,2/11/2022,Western Urban,Market/Shops/Street,misinformation
vaccine causes constipation on old men,2/11/2022,Western Urban,Word of mouth,rumors
vaccine causes vomiting on elderly women,2/11/2022,Western Urban,Word of mouth,rumors
vaccine causes hypotension on elderly  women,2/11/2022,Western Urban,Word of mouth,rumors
the vaccine cure other illness,2/11/2022,Western Urban,Word of mouth,rumors
vaccine causes low blood pressure on young men,2/11/2022,Western Urban,Word of mouth,rumors
the vaccine causes blood clot,2/11/2022,Western Urban,Market/Shops/Street,rumors
the vaccine causes blindness,2/11/2022,Western Urban,Market/Shops/Street,rumors
i don't trust the chinese vaccine,2/11/2022,Western Urban,Word of mouth,concerns
no covid exist,2/11/2022,Western Rural,Market/Shops/Street,misinformation
its been a year or more since vaccines were introduced how effect are they in the body as we know vaccines have a period of effectiveness when taken,2/11/2022,Western Urban,Word of mouth,concerns
vaccine protects lives,2/11/2022,Western Urban,Word of mouth,information
"i have high blood pressure,  i am afraid to take vaccine.",2/11/2022,Western Urban,Word of mouth,concerns
covid-19 is real and the vaccine can help cure it,2/11/2022,Western Urban,Word of mouth,information
i was forced by my office to take vaccine,2/11/2022,Western Urban,Word of mouth,concerns
i had a swollen hand when i took my 1st vaccine dose,2/11/2022,Western Urban,Word of mouth,concerns
"have sugar and pressure, i can't take the vaccine",2/11/2022,Western Urban,Word of mouth,concerns
vaccine is not safe,2/11/2022,Western Urban,Social mobilization Activities,rumors
the vaccine kills,2/11/2022,Western Urban,Word of mouth,rumors
the vaccine causes paralysis,2/10/2022,Western Urban,Social mobilization Activities Word of mouth,rumors
the vaccine causes high fever,2/11/2022,Western Urban,Social mobilization Activities Word of mouth,information
the vaccine cause serious waist pain,2/11/2022,Western Urban,Word of mouth Social mobilization Activities,information
the vaccine is safe,2/11/2022,Western Urban,Word of mouth,information
vaccine prevent women from conceiving,2/11/2022,Western Urban,Word of mouth,rumors
vaccine causes infertility,2/11/2022,Western Urban,Word of mouth,rumors
vaccine causes death,2/11/2022,Western Urban,Word of mouth,rumors
covid-19 is not as serious as they say.,2/11/2022,Western Urban,Social mobilization Activities,rumors
most health workers don't take the vaccine.,2/11/2022,Western Urban,Market/Shops/Street,rumors
vaccine is fake,2/11/2022,Western Urban,Word of mouth,misinformation
vaccine causes drowzee and vomiting,2/11/2022,Western Urban,Market/Shops/Street,rumors
government should pay citizens to be vaccinated,2/11/2022,Western Urban,Market/Shops/Street,concerns
vaccine causes aidach,2/11/2022,Western Urban,WhatsApp,misinformation
vaccine causes aidach,2/11/2022,Western Urban,WhatsApp,misinformation
vaccine causes death,2/11/2022,Western Urban,WhatsApp,rumors
vaccine causes death,2/11/2022,Western Urban,WhatsApp,rumors
vaccine causes death,2/11/2022,Western Urban,WhatsApp,misinformation
vaccine causes stroke,2/11/2022,Western Urban,WhatsApp,rumors
vaccine have expired that why people are forced to take it,2/11/2022,Western Urban,Word of mouth,misinformation
vaccine enhance manhood,2/11/2022,Western Urban,Word of mouth,rumors
vaccine not effective and safe as people that have got their jab still get covid 19,2/11/2022,Western Urban,Market/Shops/Street,concerns
vaccine make you feel sick,2/11/2022,Western Urban,Word of mouth,concerns
vaccine need more research before people should take it as it kills,2/11/2022,Western Urban,Word of mouth,concerns
no trust in manufacturers as the vaccine is a way of making money,2/11/2022,Western Urban,WhatsApp,misinformation
vaccine causes blindness to children,2/11/2022,Western Urban,Social mobilization Activities,rumors
vaccine causes blindness,2/11/2022,Western Urban,WhatsApp,misinformation
vaccine causes blindness,2/11/2022,Western Urban,WhatsApp,rumors
vaccine causes death,2/11/2022,Western Urban,WhatsApp,rumors
vaccine causes death,2/11/2022,Western Urban,WhatsApp,rumors
vaccine lead to blindness,2/11/2022,Western Urban,WhatsApp,rumors
vaccine lead to disable,2/11/2022,Western Urban,WhatsApp,rumors
vaccine gives stroke,2/11/2022,Western Urban,WhatsApp,rumors
vaccine gives you stroke,2/11/2022,Western Urban,WhatsApp,rumors
even lime can cure the covid-19 virus,2/11/2022,Moyamba,Word of mouth,rumors
our children cannot take the covid-19 vaccine,2/10/2022,Moyamba,Word of mouth,concerns
corona is not deadly,2/11/2022,Western Urban,Other,misinformation
vaccine causes lack of child bearing,2/11/2022,Western Urban,Word of mouth,rumors
vaccine causes lack of child bearing,2/11/2022,Western Urban,Word of mouth,rumors
vaccine causes lack of child bearing,2/11/2022,Western Rural,Word of mouth,rumors
vaccine causes hiv,2/10/2022,Western Urban,WhatsApp,misinformation
vaccine causes hiv,2/10/2022,Western Urban,WhatsApp,misinformation
the vaccine causes death,2/11/2022,Western Urban,Word of mouth,rumors
the vaccine cure other illness,2/11/2022,Western Urban,Word of mouth,rumors
vaccine is fake,2/11/2022,Western Urban,Word of mouth,misinformation
vaccine is fake,2/11/2022,Western Urban,Word of mouth,misinformation
vaccine is political,2/11/2022,Western Urban,Word of mouth,misinformation
vaccine causes death,2/11/2022,Western Urban,Word of mouth,rumors
vaccine causes infection to the body,2/11/2022,Western Urban,Word of mouth,misinformation
vaccine are good for children,2/11/2022,Western Urban,Word of mouth,information
vaccine  is not convincing,2/11/2022,No specific district,Other,concerns
the vaccine is safe and effective,2/12/2022,Western Urban,Market/Shops/Street,information
vaccines are not real,2/12/2022,Western Urban,Other,misinformation
corona less effective with children,2/12/2022,Western Urban,Other,rumors
i am afraid to take the vaccine because of the side effects,2/14/2022,Western Urban,Word of mouth,concerns
the vaccines are not safe for human,2/14/2022,Western Urban,Word of mouth,misinformation
vaccines help to reduce the transmission rate,2/14/2022,Western Urban,Word of mouth,information
"i have underling health, i can't take the vaccine",2/14/2022,Western Urban,Word of mouth,concerns
the vaccine cleared my stomach when i took my first dose.,2/14/2022,Western Urban,Word of mouth,information
i ate a lot when i took my first dose of vaccine,2/14/2022,Western Urban,Word of mouth,information
i am afraid to take the vaccine because of the negative information i am getting from people.,2/15/2022,Western Urban,Word of mouth,concerns
"when i took my vaccine yesterday, i had frequent urinating.",2/15/2022,Western Urban,Word of mouth,concerns
vaccine handicap people,2/11/2022,Western Urban,Public event,rumors
covid-19 vaccines are administered to affect the facility of school going children as a way to reduce the population,2/10/2022,Port Loko,Word of mouth,concerns
vaccines are not safe and health workers are not trust worthy as a result of failure to pay mobilizers that worked about 6 months ago in promoting nopv 1 and 2.,2/17/2022,Port Loko,Social mobilization Activities,concerns
vaccinators using syringes infected with hiv to give covid-19 vaccines,2/25/2022,Port Loko,Word of mouth Other Social Media,misinformation
vaccines are not safe and they could result to adverse effects.,2/24/2022,Port Loko,Social mobilization Activities,rumors
afraid of the side effect of the vaccine,2/26/2022,Western Urban,Market/Shops/Street,concerns
